gu,dong,charger_count
강남구,개포동,11
강남구,기타,4929
강남구,논현동,6
강남구,대치동,31
강남구,도곡동,27
강남구,삼성동,16
강남구,세곡동,9
강남구,수서동,20
강남구,신사동,6
강남구,압구정동,10
강남구,역삼동,35
강남구,영동,571
강남구,율현동,6
강남구,일원동,20
강남구,자곡동,29
강남구,청담동,13
강남구,학동,199
강동구,강동,2897
강북구,기타,1140
강북구,미아동,82
강북구,번동,6
강북구,수유동,10
강북구,우이동,4
강서구,가양동,39
강서구,개화동,65
강서구,공항동,3
강서구,기타,4425
강서구,내발산동,19
강서구,등촌동,19
강서구,마곡동,110
강서구,방화동,28
강서구,염창동,19
강서구,외발산동,7
강서구,화곡동,3
계양구,효성동,8
관악구,기타,1589
관악구,남현동,1
관악구,봉천동,43
관악구,신림동,24
광진구,광장동,3
광진구,구의동,4
광진구,구천면,4
광진구,기타,1092
광진구,능동,351
광진구,답십리,1
광진구,자양3동,4
광진구,자양동,12
광진구,중곡동,4
구로구,개봉동,26
구로구,고척동,14
구로구,구로동,124
구로구,기타,3051
구로구,신도림동,3
구로구,연동,105
구로구,오류동,11
구로구,오리,89
구로구,천왕동,10
구로구,항동,82
권선구,금곡동,2
금천구,가산동,5
금천구,기타,2164
금천구,독산동,18
금천구,시흥동,12
기타,기타,462
기타,문산읍,51
기타,배곧동,16
기타,상남면,23
기타,탑동동,1
기타,화촌면,13
노원구,공릉동,32
노원구,기타,3552
노원구,상계동,101
노원구,월계동,23
노원구,중계동,31
노원구,하계동,5
도봉구,기타,1643
도봉구,도봉동,46
도봉구,방학동,36
도봉구,쌍문1동,1
도봉구,쌍문2동,1
도봉구,쌍문3동,1
도봉구,쌍문동,14
도봉구,창2동,1
도봉구,창3동,1
도봉구,창동,40
동대문구,기타,1599
동대문구,답십리,311
동대문구,답십리동,10
동대문구,외대역동,36
동대문구,이문동,95
동대문구,장안동,20
동대문구,전농동,26
동대문구,정릉천동,62
동대문구,청량리동,6
동대문구,회기동,2
동대문구,휘경동,18
동작구,기타,2025
동작구,대방동,22
동작구,동작동,5
동작구,사당동,17
동작구,상도동,29
동작구,신대방동,26
동작구,흑석동,41
마포구,공덕동,18
마포구,기타,3309
마포구,노고산동,3
마포구,대흥동,1
마포구,도화동,32
마포구,마포동,5
마포구,만리,44
마포구,망원동,6
마포구,상수동,7
마포구,상암동,31
마포구,서교동,2
마포구,성산동,4
마포구,신공덕동,2
마포구,신수동,9
마포구,아현동,15
마포구,연남동,1
마포구,염리동,4
마포구,용강동,10
마포구,창전동,10
마포구,토정동,2
마포구,합정동,8
서대문구,기타,2045
서대문구,남가좌2동,1
서대문구,남가좌동,107
서대문구,냉천동,2
서대문구,대현동,1
서대문구,북가좌동,21
서대문구,북아현동,76
서대문구,연희동,6
서대문구,영천동,2
서대문구,창천동,1
서대문구,홍은동,36
서대문구,홍제동,16
서초구,기타,4970
서초구,내곡동,16
서초구,반포동,10
서초구,방배동,46
서초구,서리,2
서초구,서초동,77
서초구,신원동,16
서초구,양재동,25
서초구,염곡동,3
서초구,우면동,26
서초구,원지동,7
서초구,잠원동,41
성동구,성동,3906
성북구,기타,2988
성북구,길음동,2
성북구,돈암동,17
성북구,동소문동,1
성북구,보문동,1
성북구,삼선동,21
성북구,상월곡동,4
성북구,석관동,32
성북구,아리,152
성북구,안암동,4
성북구,장위동,13
성북구,정릉동,39
성북구,종암동,8
성북구,하월곡동,46
송파구,가락동,74
송파구,거여동,25
송파구,기타,5434
송파구,마천동,14
송파구,문정동,41
송파구,방이동,15
송파구,삼전동,1
송파구,석촌동,6
송파구,송파동,6
송파구,신천동,11
송파구,오금동,2
송파구,잠실동,24
송파구,장지동,35
송파구,탄천동,4
송파구,풍납동,8
양천구,기타,991
양천구,목동,587
양천구,목동동,554
양천구,신월동,16
양천구,신정6동,2
양천구,신정동,36
영등포구,기타,3353
영등포구,당산동,11
영등포구,대림동,33
영등포구,도림동,8
영등포구,문래동,50
영등포구,선유동,29
영등포구,신길동,51
영등포구,양평동,14
영등포구,여의도동,37
영등포구,여의동,75
영등포구,영등포동,10
용산구,기타,1964
용산구,도원동,8
용산구,문배동,8
용산구,산천동,5
용산구,용산동,14
용산구,유엔빌리,12
용산구,이촌동,19
용산구,이태원동,2
용산구,한남동,6
용산구,효창동,9
은평구,구산동,5
은평구,기타,2913
은평구,녹번동,2
은평구,불광동,3
은평구,수색동,2
은평구,신사동,23
은평구,역촌동,1
은평구,응암동,14
은평구,진관동,53
종로구,구기동,1
종로구,기타,1245
종로구,내수동,5
종로구,누상동,2
종로구,명륜동,2
종로구,무악동,6
종로구,사직동,4
종로구,숭인동,17
종로구,연건동,5
종로구,옥인동,2
종로구,원서동,1
종로구,인사동,29
종로구,인의동,2
종로구,창신동,21
종로구,평동,3
종로구,평창동,2
종로구,훈정동,6
중구,기타,1609
중구,남산동,1
중구,다동,9
중구,만리,215
중구,만리동,2
중구,명동,8
중구,수표동,2
중구,순화동,2
중구,신당동,31
중구,예관동,1
중구,왕십리,8
중구,정동,12
중구,중림동,12
중구,필동,18
중구,황학동,4
중구,회현동,8
중구,흥인동,2
중랑구,기타,2354
중랑구,답십리,8
중랑구,망우동,13
중랑구,면목동,21
중랑구,묵동,10
중랑구,상봉동,10
중랑구,신내동,42
중랑구,중화동,5
